2026-04-14 12:23:28.552 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0490 | Threshold: 0.0309
2026-04-14 12:23:28.642 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0490 | Threshold: 0.0308
2026-04-14 12:23:28.733 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0490 | Threshold: 0.0308
2026-04-14 12:23:28.823 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0490 | Threshold: 0.0307
2026-04-14 12:23:28.914 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0490 | Threshold: 0.0306
2026-04-14 12:23:29.005 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0490 | Threshold: 0.0306
2026-04-14 12:23:29.096 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0492 | Threshold: 0.0305
2026-04-14 12:23:29.186 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0494 | Threshold: 0.0305
2026-04-14 12:23:29.277 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0495 | Threshold: 0.0304
2026-04-14 12:23:29.367 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0495 | Threshold: 0.0304
2026-04-14 12:23:29.457 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0304
2026-04-14 12:23:29.548 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0304
2026-04-14 12:23:29.638 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0303
2026-04-14 12:23:29.728 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0303
2026-04-14 12:23:29.819 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0303
2026-04-14 12:23:29.909 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0303
2026-04-14 12:23:30.000 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0303
2026-04-14 12:23:30.091 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0303
2026-04-14 12:23:30.180 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0303
2026-04-14 12:23:30.271 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0303
2026-04-14 12:23:30.361 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0302
2026-04-14 12:23:30.452 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0302
2026-04-14 12:23:30.542 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0302
2026-04-14 12:23:30.633 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0302
2026-04-14 12:23:30.723 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0302
2026-04-14 12:23:30.814 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0302
2026-04-14 12:23:30.904 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:30.996 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:31.086 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:31.176 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:31.267 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:31.356 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:31.447 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:31.537 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:31.628 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:31.719 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:31.810 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:31.900 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:31.992 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:32.082 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:32.174 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:32.265 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:32.355 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:32.445 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:32.536 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:32.626 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:32.717 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0301
2026-04-14 12:23:32.808 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0301
2026-04-14 12:23:32.898 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0301
2026-04-14 12:23:32.988 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0300
2026-04-14 12:23:33.079 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0300
2026-04-14 12:23:33.170 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0300
2026-04-14 12:23:33.260 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0300
2026-04-14 12:23:33.351 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0300
2026-04-14 12:23:33.441 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0300
2026-04-14 12:23:33.522 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0300
2026-04-14 12:23:33.613 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0300
2026-04-14 12:23:33.703 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0299
2026-04-14 12:23:33.793 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0299
2026-04-14 12:23:33.884 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0299
2026-04-14 12:23:33.974 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0299
2026-04-14 12:23:34.064 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0499 | Threshold: 0.0299
2026-04-14 12:23:34.155 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0499 | Threshold: 0.0298
2026-04-14 12:23:34.246 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0500 | Threshold: 0.0298
2026-04-14 12:23:34.336 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0500 | Threshold: 0.0298
2026-04-14 12:23:34.427 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0501 | Threshold: 0.0297
2026-04-14 12:23:34.518 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0501 | Threshold: 0.0297
2026-04-14 12:23:34.608 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0503 | Threshold: 0.0297
2026-04-14 12:23:34.699 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0530 | Threshold: 0.0297
2026-04-14 12:23:34.789 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0516 | Threshold: 0.0297
2026-04-14 12:23:34.879 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0510 | Threshold: 0.0297
2026-04-14 12:23:34.969 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0504 | Threshold: 0.0297
